Wavelength,Flux,BestFit,SkyFlux
4600.447,36.054,35.399,4.331
4601.506,35.885,36.959,3.803
4602.567,36.65,36.866,3.863
4603.626,36.737,35.617,4.245
4604.685,35.915,36.557,4.478
4605.747,36.135,37.708,4.433
4606.806,35.017,37.826,4.25
4607.868,36.456,36.793,4.27
4608.928,37.024,35.939,4.445
4609.991,36.432,35.912,4.74
4611.052,37.38,36.861,5.007
4612.113,37.365,39.502,4.626
4613.176,35.653,38.25,4.011
4614.237,39.212,39.1,3.953
4615.301,39.948,38.951,4.291
4616.363,38.37,35.912,4.422
4617.428,39.099,34.044,4.327
4618.49,36.812,35.011,4.35
4619.552,36.14,33.131,4.421
4620.618,36.021,35.108,4.417
4621.681,36.65,37.388,4.428
4622.746,39.094,37.264,4.734
4623.81,38.379,37.351,4.754
4624.876,38.533,37.267,4.484
4625.94,37.564,36.923,4.54
4627.004,34.884,36.282,4.33
4628.071,37.922,34.868,4.305
4629.136,36.229,34.239,4.392
4630.203,36.993,36.114,4.445
4631.268,38.961,36.978,4.569
4632.336,36.854,35.981,4.442
4633.402,37.352,35.272,4.527
4634.468,36.387,35.58,4.626
4635.537,35.577,36.128,4.484
4636.603,35.87,35.885,4.378
4637.672,35.623,35.125,4.409
4638.739,35.639,34.617,4.313
4639.809,36.907,35.404,3.917
4640.876,37.281,36.907,3.728
4641.944,38.309,37.895,4.081
4643.014,40.409,37.994,4.436
4644.082,36.732,38.382,4.214
4645.153,38.099,37.255,3.739
4646.222,36.485,36.609,3.774
4647.293,35.888,35.214,3.853
4648.362,36.761,33.978,3.77
4649.432,39.261,35.687,4.115
4650.504,33.855,37.58,4.409
4651.574,37.327,38.412,4.701
4652.646,38.384,37.648,4.547
4653.717,38.271,37.064,4.347
4654.79,37.562,37.497,4.064
4655.861,40.154,37.908,4.183
4656.934,39.093,37.443,4.505
4658.006,35.611,35.284,4.874
4659.077,36.77,35.068,5.315
4660.152,37.106,36.727,5.598
4661.224,36.429,37.033,5.666
4662.299,39.902,35.051,5.708
4663.371,38.872,36.84,5.669
4664.446,36.013,35.569,5.315
4665.52,34.993,35.642,5.405
4666.593,34.111,36.657,5.467
4667.669,37.537,36.992,5.384
4668.743,38.062,36.929,5.375
4669.819,39.689,36.57,5.435
4670.894,41.287,36.158,5.668
4671.971,37.824,36.635,5.57
4673.046,36.384,35.722,5.222
4674.121,36.336,34.645,5.233
4675.198,36.624,36.638,5.524
4676.274,38.163,37.332,5.687
4677.352,37.433,38.204,5.928
4678.428,38.173,38.454,5.434
4679.507,41.798,38.884,4.732
4680.584,40.591,39.854,4.648
4681.66,38.305,40.345,4.885
4682.74,39.415,39.451,5.141
4683.817,39.65,36.009,5.361
4684.897,37.879,35.176,5.113
4685.975,38.368,34.266,4.953
4687.056,35.426,33.052,4.996
4688.134,37.002,34.982,4.809
4689.212,38.571,36.109,4.924
4690.294,39.073,38.161,4.451
4691.373,41.297,38.406,4.331
4692.454,40.206,39.065,4.592
4693.534,36.199,39.699,4.414
4694.616,37.498,37.297,4.599
4695.696,37.122,36.273,4.967
4696.777,34.708,37.181,4.906
4697.86,36.735,36.467,4.488
4698.94,37.485,37.179,4.143
4700.024,36.039,39.514,4.116
4701.105,38.569,39.196,4.33
4702.189,38.671,37.648,4.236
4703.271,37.358,37.615,3.995
4704.353,38.555,39.616,4.25
4705.438,36.548,40.601,4.613
4706.52,36.272,39.8,4.73
4707.606,40.108,38.918,4.526
4708.689,38.855,37.025,4.316
4709.774,37.335,39.149,4.557
4710.858,41.266,41.613,4.926
4711.942,39.971,41.506,5.012
4713.028,40.623,40.059,4.775
4714.112,41.113,39.912,4.68
4715.199,39.097,39.501,4.682
4716.284,39.539,40.839,4.499
4717.372,41.194,39.296,4.329
4718.457,40.027,38.325,4.582
4719.542,37.719,39.283,4.901
4720.631,39.344,38.658,4.743
4721.717,41.559,38.045,4.401
4722.805,37.81,39.135,4.4
4723.892,37.525,37.284,4.429
4724.981,39.188,35.789,4.704
4726.068,37.044,37.274,4.791
4727.155,40.233,38.545,4.317
4728.246,37.609,36.392,4.351
4729.333,37.352,37.876,4.602
4730.424,39.447,39.116,4.428
4731.512,39.756,38.31,4.264
4732.603,36.513,36.845,4.135
4733.692,38.956,36.599,4.329
4734.781,36.322,36.811,4.588
4735.873,36.703,35.238,4.381
4736.962,36.143,33.402,4.223
4738.054,36.639,33.873,4.54
4739.144,37.498,36.35,4.984
4740.237,36.186,37.237,5.013
4741.328,36.25,34.487,4.844
4742.421,37.18,34.329,4.929
4743.512,36.93,37.025,5.221
4744.603,38.467,38.949,5.468
4745.697,39.209,38.805,5.482
4746.789,38.216,38.392,5.079
4747.884,37.099,37.818,4.566
4748.976,38.163,36.95,4.22
4750.071,38.932,36.635,4.045
4751.164,38.956,36.492,4.206
4752.257,38.889,36.401,4.393
4753.353,38.194,36.958,4.237
4754.446,40.174,37.832,4.204
4755.543,38.322,37.63,4.233
4756.637,40.953,36.515,4.001
4757.734,37.835,35.394,3.926
4758.828,38.93,34.748,3.962
4759.923,37.578,34.93,3.933
4761.02,38.422,36.816,3.863
4762.116,38.617,36.777,3.806
4763.214,36.389,36.425,3.999
4764.31,35.493,35.802,4.159
4765.408,36.644,36.145,3.992
4766.504,39.066,38.39,3.825
4767.601,39.89,37.273,3.931
4768.7,39.544,37.481,3.959
4769.797,39.702,39.949,4.124
4770.897,37.462,41.116,4.308
4771.995,39.389,38.717,3.892
4773.095,40.096,35.447,3.853
4774.193,39.817,36.83,4.012
4775.292,39.94,37.247,3.876
4776.393,39.284,37.714,3.97
4777.492,40.559,38.401,4.049
4778.593,37.953,39.46,4.272
4779.693,38.432,40.441,4.477
4780.795,39.654,37.735,4.121
4781.895,40.902,36.44,3.904
4782.995,38.736,37.551,4.173
4784.098,40.139,38.181,4.065
4785.198,39.942,37.176,3.844
4786.302,38.013,36.785,3.886
4787.403,39.307,38.522,3.996
4788.507,39.504,38.903,3.972
4789.608,38.553,36.622,3.964
4790.71,38.792,35.301,4.103
4791.815,37.383,35.735,4.343
4792.917,36.358,35.039,4.517
4794.022,37.219,34.717,4.315
4795.125,38.606,35.963,4.063
4796.231,36.442,37.386,4.042
4797.334,40.983,38.124,4.095
4798.438,40.816,37.62,4.145
4799.545,37.813,36.491,3.942
4800.649,38.138,37.656,3.816
4801.756,38.137,36.186,4.179
4802.86,37.916,35.899,4.219
4803.968,38.431,36.638,4.293
4805.073,37.793,36.249,4.8
4806.178,36.3,35.224,4.685
4807.287,39.859,37.492,4.252
4808.393,39.338,37.241,4.023
4809.501,39.372,36.794,4.075
4810.608,35.398,36.649,4.392
4811.717,36.504,37.109,4.514
4812.824,40.133,38.815,4.383
4813.931,40.603,39.174,4.324
4815.041,39.472,38.08,4.327
4816.149,39.133,37.965,4.545
4817.26,40.098,38.94,5.066
4818.368,37.847,39.631,5.619
4819.479,38.446,39.343,5.604
4820.588,38.457,39.512,5.094
4821.697,40.249,38.991,5.656
4822.809,40.273,38.85,5.553
4823.918,37.709,38.034,5.35
4825.03,41.109,37.223,5.482
4826.14,42.202,38.081,5.362
4827.253,42.388,37.255,5.288
4828.364,41.396,38.964,5.333
4829.477,36.532,38.495,5.638
4830.588,37.842,37.569,5.726
4831.699,40.65,38.818,5.371
4832.814,42.576,40.625,5.261
4833.925,38.948,39.789,5.745
4835.04,37.09,39.443,6.049
4836.152,39.354,39.216,5.556
4837.268,40.426,39.061,5.063
4838.38,40.1,39.108,5.264
4839.493,40.113,38.961,5.767
4840.609,40.059,38.296,6.039
4841.723,41.243,38.798,5.699
4842.84,39.571,38.515,5.444
4843.954,38.096,38.47,5.132
4845.071,40.303,38.701,4.734
4846.185,37.814,37.942,4.93
4847.3,37.534,38.769,5.141
4848.418,35.353,38.03,4.933
4849.533,35.99,38.099,4.568
4850.652,38.454,37.785,4.114
4851.767,40.141,37.151,4.154
4852.886,39.106,38.187,4.986
4854.003,41.58,38.211,4.95
4855.119,38.686,39.462,4.374
4856.239,42.093,40.376,4.07
4857.356,39.208,39.85,3.868
4858.476,39.225,37.9,3.757
4859.594,39.838,35.774,3.594
4860.714,39.915,35.738,3.817
4861.833,38.516,35.539,4.502
4862.951,38.717,36.724,4.548
4864.072,38.1,38.046,4.106
4865.191,38.661,38.134,4.067
4866.313,38.648,37.772,4.208
4867.433,37.72,38.283,4.014
4868.555,40.219,37.858,4.266
4869.675,40.337,36.67,4.73
4870.796,39.579,37.546,4.566
4871.919,39.797,39.738,4.251
4873.039,42.087,39.295,4.262
4874.163,44.292,38.298,4.084
4875.284,40.85,39.707,3.79
4876.409,39.711,39.124,3.765
4877.531,37.636,38.088,4.085
4878.653,39.212,37.411,4.407
4879.778,40.32,35.366,4.413
4880.9,39.205,35.444,4.616
4882.026,37.554,34.877,5.101
4883.149,38.854,35.567,5.279
4884.275,40.166,36.414,4.792
4885.398,40.184,37.712,4.798
4886.522,38.268,40.384,5.053
4887.649,40,38.738,4.724
4888.774,41.352,39.556,4.5
4889.901,36.837,39.944,4.719
4891.026,36.842,39.988,4.839
4892.154,37.069,39.488,4.589
4893.279,41.104,37.464,4.427
4894.405,39.425,38.253,4.625
4895.533,38.408,38.401,4.766
4896.66,39.916,38.612,4.74
4897.789,41.353,40.128,4.722
4898.916,41.119,41.52,4.491
4900.045,41.531,40.698,4.159
4901.172,40.275,40.97,4.076
4902.3,40.885,41.031,4.397
4903.43,41.681,39.707,4.478
4904.558,41.63,39.429,4.157
4905.689,41.159,39.994,4.167
4906.818,40.078,38.944,4.426
4907.95,40.039,40.028,4.547
4909.079,40.743,39.018,4.72
4910.208,42.764,39.588,4.401
4911.34,38.982,39.876,3.99
4912.47,38.226,38.596,4.201
4913.603,38.639,37.835,4.585
4914.733,41.623,36.634,4.661
4915.867,40.327,36.986,4.38
4916.997,38.502,37.242,4.438
4918.131,37.414,36.669,4.593
4919.263,36.784,36.017,4.131
4920.394,40.323,36.612,3.522
4921.529,35.944,38.301,3.579
4922.661,37.904,36.23,4.055
4923.796,38.787,36.147,4.422
4924.929,37.769,37.621,4.166
4926.065,35.369,37.825,4.196
4927.198,37.68,37.004,4.581
4928.331,37.693,37.948,4.28
4929.468,39.462,38.069,3.907
4930.602,37.464,36.921,4.191
4931.739,39.674,37.238,4.463
4932.873,37.54,38.371,4.3
4934.011,36.789,37.575,4.271
4935.146,37.539,39.642,4.291
4936.281,39.042,38.974,4.314
4937.42,38.672,38.809,4.306
4938.556,38.168,38.938,4.305
4939.694,39.439,38.524,4.259
4940.831,42.2,38.746,4.143
4941.97,41.502,39.53,4.293
4943.107,38.091,38.68,4.704
4944.244,38.507,37.434,4.792
4945.384,38.201,36.43,4.446
4946.522,37.135,35.653,4.086
4947.663,38.672,35.379,4.029
4948.801,37.127,36.378,4.421
4949.942,36.294,37.725,4.756
4951.081,37.905,38.667,4.451
4952.22,37.568,38.509,4.228
4953.362,37.882,38.166,4.48
4954.501,39.242,39.021,4.732
4955.644,39.113,38.62,4.55
4956.784,41.579,36.484,4.177
4957.927,36.772,36.45,3.981
4959.067,40.921,37.486,4.081
4960.208,39.348,37.777,3.82
4961.352,42.043,37.774,4.33
4962.493,37.948,38.102,4.886
4963.638,39.763,40.191,4.632
4964.779,38.622,38.668,4.423
4965.924,39.952,36.712,4.839
4967.067,37.8,37.761,5.333
4968.209,38.934,38.988,5.42
4969.355,39.35,36.604,5.007
4970.498,40.286,37.295,4.928
4971.644,38.178,37.763,5.027
4972.788,39.558,36.43,5.344
4973.935,41.023,35.503,5.726
4975.079,37.669,36.959,5.738
4976.224,37.915,36.79,5.724
4977.371,40.564,37.366,5.951
4978.516,39.068,37.071,6.231
4979.664,37.877,35.846,6.637
4980.81,39.939,34.854,7.05
4981.958,37.684,34.737,7.116
4983.104,37.219,34.578,6.921
4984.251,37.511,34.196,6.949
4985.4,36.013,36.816,7.052
4986.547,38.014,38.13,6.965
4987.697,38.166,36.773,6.802
4988.844,40.76,37.346,6.492
4989.995,42.28,38.132,6.441
4991.143,39.056,37.686,5.964
4992.291,38.259,38.264,5.94
4993.442,37.225,39.256,5.698
4994.591,39.208,39.433,5.685
4995.743,42.264,39.036,5.111
4996.892,38.896,38.763,4.891
4998.044,40.152,39.702,5.037
4999.194,40.725,39.281,4.575
5000.344,36.082,37.842,4.295
5001.497,39.488,37.104,4.435
5002.648,38.985,37.567,4.26
5003.801,38.046,37.688,4.395
5004.952,38.512,36.974,4.964
5006.106,36.439,36.895,4.722
5007.258,38.045,38.607,4.349
5008.413,38.955,39.418,4.289
5009.565,40.029,36.369,4.187
5010.717,39.243,36.662,4.06
5011.873,39.45,38.755,4.189
5013.026,39.805,39.984,4.266
5014.182,39.047,39.771,3.855
5015.335,41.882,39.378,3.507
5016.492,40.887,39.473,3.84
5017.646,38.543,37.387,4.225
5018.8,40.234,37.829,4.111
5019.958,39.968,37.984,3.971
5021.112,38.637,37.282,4.409
5022.27,39.765,36.803,4.484
5023.426,39.157,36.938,4.15
5024.584,39.472,37.173,3.921
5025.74,39.149,37.199,3.977
5026.896,37.706,35.543,3.935
5028.055,36.987,34.751,3.9
5029.212,37.838,36.582,4.138
5030.372,38.894,38.268,4.316
5031.529,39.482,35.747,4.3
5032.689,38.432,36.283,4.292
5033.847,38.034,38.075,4.283
5035.005,39.716,37.97,4.03
5036.166,40.885,37.09,3.759
5037.325,38.832,38.674,3.793
5038.486,39.083,39.183,3.711
5039.645,40.196,39.551,3.517
5040.807,38.267,39.733,3.52
5041.967,38.241,38.231,3.341
5043.127,38.643,36.556,3.22
5044.29,39.194,37.376,3.567
5045.45,36.876,35.554,4
5046.614,41.095,35.58,4.197
5047.775,39.761,35.629,4.031
5048.939,39.334,36.99,3.79
5050.1,37.352,38.722,3.911
5051.262,37.22,37.316,3.699
5052.427,38.793,36.92,3.487
5053.589,36.117,34.53,3.863
5054.754,37.74,33.742,4.094
5055.917,39.533,34.997,3.861
5057.083,39.115,36.917,3.367
5058.247,40.272,38.24,3.649
5059.41,36.78,36.907,4.13
5060.577,34.978,34.956,4.047
5061.741,38.619,35.409,3.863
5062.908,37.924,35.89,3.582
5064.073,37.824,35.624,4.187
5065.241,34.887,36.838,4.53
5066.406,37.686,36.065,3.9
5067.572,36.334,35.744,4.038
5068.74,38.786,35.161,4.22
5069.906,37.101,34.813,4.637
5071.075,38.609,34.684,4.622
5072.242,38.081,33.703,4.068
5073.412,34.751,32.971,3.98
5074.579,35.944,32.152,3.88
5075.746,36.506,31.711,3.857
5076.917,37.911,30.218,4.219
5078.084,36.608,29.221,3.942
5079.255,41.362,32.759,3.407
5080.424,53.324,40.338,3.799
5081.595,81.642,68.764,4.447
5082.764,105.676,108.359,5
5083.934,125.83,133.942,5.075
5085.106,133.129,126.816,5.062
5086.276,119.934,90.219,5.426
5087.449,78.69,52.902,5.68
5088.619,46.812,35.329,5.328
5089.793,34.044,30.269,4.619
5090.964,34.372,28.798,4.295
5092.135,33.805,28.91,4.233
5093.309,31.153,31.09,4.175
5094.481,33.165,28.693,4.142
5095.655,33.791,29.681,3.865
5096.828,34.517,31.2,4.007
5098.003,36.634,31.749,4.275
5099.176,36.776,32.049,4.333
5100.352,34.341,32.736,4.323
5101.525,36.756,33.543,4.223
5102.699,36.444,34.965,4.036
5103.875,34.409,35.571,3.874
5105.049,36.226,35.208,3.817
5106.227,36.309,34.466,3.707
5107.401,37.276,33.823,3.855
5108.579,38.783,33.604,3.955
5109.754,36.97,32.971,3.57
5110.93,34.496,32.924,3.57
5112.108,35.146,32.471,3.935
5113.284,37.085,32.335,3.987
5114.463,37.129,34.072,3.66
5115.64,37.734,32.521,3.479
5116.82,37.197,32.953,3.649
5117.997,36.982,34.619,3.866
5119.174,38.464,36.653,3.749
5120.355,39.71,38.12,3.763
5121.533,39.745,38.148,4.001
5122.714,38.618,38.55,3.764
5123.892,40.178,36.935,3.424
5125.074,39.792,36.583,3.496
5126.253,37.603,37.078,3.517
5127.432,38.11,37.368,3.465
5128.614,38.128,37.925,3.515
5129.794,37.856,37.337,3.711
5130.977,38.224,37.994,3.776
5132.157,38.481,38.051,3.97
5133.341,40.197,37.002,4.184
5134.522,38.179,35.743,4.09
5135.703,39.367,35.333,4.355
5136.887,38.404,36.241,4.546
5138.069,37.651,37.708,4.424
5139.254,37.626,38.24,4.321
5140.436,38.592,38.716,4.077
5141.621,37.834,38.964,4.535
5142.804,38.829,37.463,4.713
5143.987,40.245,36.572,4.218
5145.174,35.647,33.52,4.413
5146.357,34.543,32.16,4.385
5147.544,36.258,32.536,4.583
5148.728,38.838,33.549,4.856
5149.915,37.975,34.72,4.809
5151.1,36.343,33.232,4.971
5152.285,36.998,36.757,5.576
5153.473,36.689,39.914,5.586
5154.659,36.805,41.014,5.493
5155.847,41.292,40.825,5.554
5157.034,41.259,39.513,5.228
5158.223,40.334,38.807,4.499
5159.409,39.631,37.039,4.489
5160.596,39.022,35.899,4.48
5161.786,39.023,36.034,4.5
5162.974,36.189,36.173,4.271
5164.164,37.742,34.888,3.884
5165.352,36.917,34.22,3.69
5166.544,39.264,37.077,3.667
5167.732,37.565,37.737,3.622
5168.921,37.347,38.082,3.599
5170.113,38.634,40.064,3.794
5171.302,38.868,40.687,3.532
5172.495,40.487,40.338,3.189
5173.685,41.673,39.906,3.336
5174.878,39.834,40.546,3.686
5176.068,39.708,40.446,3.717
5177.259,39.995,39.729,3.972
5178.453,39.666,41.005,4.241
5179.644,38.996,41.342,4.058
5180.838,40.547,40.64,3.8
5182.03,41.591,42.505,3.63
5183.225,45.33,46.086,3.31
5184.418,45.958,49.391,3.036
5185.61,47.617,52.182,3.335
5186.806,52.265,53.697,3.776
5187.999,52.358,52.29,4.163
5189.196,47.02,47.682,4.381
5190.389,42.663,43.25,4.301
5191.586,40.422,40.782,4.043
5192.781,38.269,38.623,3.78
5193.978,37.879,37.273,3.623
5195.173,37.907,37.576,3.763
5196.368,36.817,38.052,4.137
5197.566,38.194,37.74,4.796
5198.762,39.156,37.274,6.141
5199.961,38.484,37.778,6.83
5201.157,39.5,38.031,6.171
5202.357,41.254,38.815,5.331
5203.553,38.249,38.904,5.106
5204.75,39.984,38.198,4.795
5205.951,38.348,37.35,4.105
5207.148,38.416,36.645,3.555
5208.349,39.458,35.669,3.559
5209.547,37.817,35.075,3.877
5210.748,36.724,34.564,4.192
5211.947,35.114,34.759,4.133
5213.146,36.11,35.377,4.195
5214.348,34.996,35.659,4.342
5215.548,39.593,38.212,3.916
5216.751,38.882,38.486,4.165
5217.951,37.324,39.447,4.18
5219.154,38.153,38.611,4.227
5220.355,40.639,36.118,4.497
5221.556,37.602,37.372,4.503
5222.76,36.141,38.735,4.78
5223.961,37.698,38.693,4.684
5225.166,41.189,40.059,4.919
5226.368,43.382,40.897,4.427
5227.573,38.662,39.748,3.595
5228.776,39.469,39.289,3.708
5229.978,40.791,40.995,3.846
5231.184,41.317,44.218,4.006
5232.388,44.434,51.394,4.344
5233.594,54.487,62.859,4.445
5234.798,66.433,75.955,3.757
5236.006,72.907,85.244,3.717
5237.21,77.588,84.085,4.266
5238.415,78.498,72.449,4.841
5239.623,61.856,57.18,5.231
5240.828,46.761,45.922,4.874
5242.037,40.893,40.67,4.088
5243.243,38.862,37.58,3.654
5244.452,39.917,36.106,3.844
5245.658,36.614,36.242,3.897
5246.865,36.96,36.666,3.933
5248.075,37.978,36.068,4.011
5249.282,38.683,35.182,3.756
5250.493,36.624,36.123,4.014
5251.701,38.532,37.529,4.245
5252.912,36.605,37.714,3.98
5254.12,36.665,37.991,3.724
5255.329,38.798,37.912,4.176
5256.541,39.035,37.325,4.606
5257.75,38.409,37.645,5.184
5258.962,36.733,38.532,4.941
5260.172,38.398,38.452,4.347
5261.385,40.834,37.901,3.842
5262.595,38.564,37.372,3.52
5263.806,36.877,38.358,3.296
5265.02,39.419,41.234,2.947
5266.231,39.607,39.381,3.221
5267.446,37.079,37.514,3.669
5268.657,38.387,35.968,3.392
5269.872,36.501,34.616,3.277
5271.085,39.087,34.674,3.447
5272.297,39.332,36.198,3.713
5273.513,37.791,34.016,3.76
5274.726,37.418,36.418,3.725
5275.942,38.093,39.128,4.136
5277.156,39.661,39.485,4.523
5278.373,39.05,38.827,4.453
5279.587,36.97,38.743,4.013
5280.805,36.356,36.622,3.828
5282.02,38.044,36.334,3.773
5283.235,37.809,37.121,3.532
5284.453,40.217,37.665,3.304
5285.669,38.364,37.573,3.557
5286.888,38.744,37.411,3.95
5288.104,38.047,38.227,3.976
5289.323,40.934,39.772,3.842
5290.54,41.183,39.449,3.838
5291.757,38.899,39.826,3.967
5292.977,39.622,41.739,4.16
5294.195,40.166,41.262,4.08
5295.416,40.15,39.339,4.037
5296.634,40.678,38.468,4.081
5297.856,38.568,38.164,4.036
5299.074,36.842,37.921,4.109
5300.293,38.387,38.023,4.379
5301.516,38.961,38.71,4.389
5302.735,40.782,38.64,4.236
5303.958,40.852,38.303,4.075
5305.178,39.191,37.883,4.008
5306.402,37.485,38.53,4.255
5307.622,40.87,39.354,4.336
5308.843,40.961,38.6,4.216
5310.067,38.908,40.716,4.044
5311.289,37.127,37.04,4.363
5312.514,37.95,34.794,4.747
5313.736,36.025,35.494,4.728
5314.961,36.198,35.999,4.443
5316.184,37.039,35.843,4.223
5317.407,37.705,39.246,4.08
5318.633,36.768,39.55,4.244
5319.857,38.096,39.755,4.683
5321.083,38.529,40.526,4.481
5322.308,40.724,39.785,4.287
5323.535,40.95,37.538,4.188
5324.76,41.579,39.538,4.227
5325.985,39.467,41.558,4.414
5327.213,39.369,40.593,4.141
5328.438,38.967,39.237,3.879
5329.667,41.513,39.115,4.031
5330.893,39.835,37.696,4.914
5332.122,38.325,35.259,5.006
5333.349,37.135,35.862,4.557
5334.576,38.747,37.255,4.483
5335.806,37.634,38.121,4.629
5337.033,35.17,38.287,4.618
5338.264,40.022,37.709,4.381
5339.492,39.297,37.541,4.092
5340.724,40.834,37.5,4.073
5341.952,39.675,37.057,4.079
5343.181,36.16,37.133,4.353
5344.413,38.038,38.011,4.553
5345.643,37.207,38.698,4.388
5346.875,38.97,39.904,4.287
5348.105,38.935,39.864,4.338
5349.339,40.002,38.573,4.451
5350.569,39.12,38.912,4.793
5351.8,36.85,40.971,4.943
5353.034,40.734,41.071,3.858
5354.266,40.208,40.697,4.053
5355.5,34.435,39.042,4.842
5356.732,39.296,38.906,4.848
5357.968,38.752,38.312,4.948
5359.2,36.854,36.165,4.346
5360.433,40.065,35.716,4.009
5361.669,37.095,36.706,4.045
5362.903,37.319,36.59,4.041
5364.139,37.748,36.821,3.994
5365.373,37.519,37.341,3.843
5366.611,37.626,38.061,3.759
5367.845,38.995,39.331,3.922
5369.08,39.847,38.113,4.125
5370.318,38.071,37.801,4.267
5371.554,40.154,37.589,3.904
5372.792,40.303,37.279,3.816
5374.028,40.212,37.052,4.169
5375.268,40.819,37.024,4.343
5376.504,39.609,38.687,4.385
5377.744,37.835,36.818,4.322
5378.981,38.495,36.075,4.268
5380.218,37.339,37.514,4.262
5381.459,35.303,38.64,4.209
5382.697,36.787,37.87,4.061
5383.938,37.008,37.318,3.893
5385.177,36.014,37.102,4.035
5386.419,36.798,37.069,4.25
5387.658,36.948,36.898,4.395
5388.897,35.984,36.551,4.178
5390.14,38.991,36.557,3.887
5391.38,39.384,37.545,4.203
5392.623,39.242,39.518,4.402
5393.864,41.14,40.512,4.388
5395.108,41.692,40.8,4.052
5396.349,36.803,41.006,3.856
5397.59,43.02,40.498,3.72
5398.835,38.446,39.457,3.717
5400.077,39.076,37.89,4.002
5401.322,36.88,36.735,3.95
5402.565,35.706,35.078,3.664
5403.81,34.54,32.494,3.46
5405.054,33.342,30.746,3.634
5406.297,34.631,31.178,3.692
5407.544,33.556,32.975,4.063
5408.788,31.768,33.186,3.914
5410.035,35.288,32.884,3.53
5411.28,35.34,34.278,3.731
5412.527,36.4,37.015,3.903
5413.773,36.47,38.643,4.232
5415.018,38.724,40.18,4.434
5416.267,39.211,41.033,4.293
5417.513,38.514,40.082,4.355
5418.762,36.827,37.841,4.403
5420.008,35.516,35.597,4.374
5421.258,35.442,31.252,4.319
5422.505,35.011,33.084,4.32
5423.753,38.032,37.228,4.1
5425.004,37.886,37.709,3.909
5426.252,37.516,36.12,4.336
5427.503,38.926,38.448,4.401
5428.752,37.188,35.968,4.486
5430.003,36.773,35.766,4.524
5431.253,36.527,37.32,4.321
5432.502,36.761,37.278,4.169
5433.755,39.715,37.264,4.282
5435.005,41.603,42.24,4.508
5436.258,43.094,45.064,4.327
5437.509,44.203,45.686,4.437
5438.763,45.533,45.295,4.654
5440.014,43.955,43.226,4.696
5441.265,39.628,39.427,4.439
5442.52,39.114,36.566,4.295
5443.772,37.223,37.137,4.482
5445.027,37.358,34.86,4.144
5446.28,35.867,34.25,4.533
5447.536,36.774,35.821,4.327
5448.789,36.92,37.183,4.181
5450.043,38.681,37.716,4.65
5451.299,38.752,38.203,4.284
5452.553,36.83,36.746,4.461
5453.811,36.798,38.481,4.456
5455.065,37.463,39.121,4.472
5456.323,36.631,36.941,4.294
5457.578,40.93,38.333,4.747
5458.834,38.631,37.647,5.776
5460.093,37.54,38.926,10.256
5461.349,42.32,38.955,19.082
5462.608,42.139,37.697,21.481
5463.865,39.317,36.48,13.688
5465.125,36.773,34.825,7.139
5466.382,35.721,33.512,5.741
5467.64,37.767,34.628,5.154
5468.9,38.355,35.582,5.134
5470.159,38.955,36.849,4.874
5471.42,38.129,38.879,4.696
5472.679,36.796,38.995,4.495
5473.941,37.006,36.361,4.495
5475.2,38.119,36.978,4.591
5476.463,38.849,38.958,4.589
5477.722,38.428,39.843,4.395
5478.982,38.835,39.397,4.342
5480.246,40.39,39.069,4.612
5481.507,41.547,39.471,4.724
5482.771,40.826,39.647,4.982
5484.032,39.651,39.757,5.317
5485.297,39.598,39.468,5.587
5486.558,37.748,38.499,5.132
5487.821,40.534,37.537,4.783
5489.086,39.737,37.671,4.315
5490.349,40.002,37.193,4.475
5491.615,38.568,36.463,4.641
5492.878,38.941,37.3,4.502
5494.145,38.429,39.181,4.938
5495.409,39.798,39.138,4.403
5496.673,39.424,39.079,4.436
5497.941,40.943,39.106,4.647
5499.205,41.344,40.57,4.776
5500.473,42.333,41.775,5.052
5501.739,39.462,40.635,4.645
5503.008,39.226,37.89,4.747
5504.274,37.925,36.165,4.805
5505.54,37.085,35.262,4.581
5506.809,37.234,34.036,4.686
5508.076,40.244,33.791,4.702
5509.346,39.648,34.636,4.781
5510.614,37.249,34.217,4.994
5511.884,37.084,34.407,4.83
5513.152,36.343,35.817,4.849
5514.421,36.896,37.489,5.19
5515.692,37.823,38.049,5.393
5516.961,38.303,38.185,5.325
5518.233,41.268,39.933,4.962
5519.503,37.72,40.252,5.333
5520.776,41.466,39.048,5.265
5522.046,39.457,39.059,5.842
5523.316,40.162,38.75,5.427
5524.59,39.7,37.263,5.039
5525.861,37.82,37.447,5.234
5527.135,40.031,38.372,5.249
5528.406,48.904,40.193,4.898
5529.681,42.944,41.116,4.29
5530.953,43.674,41.295,4.479
5532.226,40.693,41.625,5.027
5533.501,42.117,41.999,5.322
5534.774,41.701,42.123,4.869
5536.051,38.382,41.831,4.944
5537.324,37.373,39.814,4.943
5538.601,39.121,38.297,4.859
5539.875,37.307,38.301,4.981
5541.15,38.268,37.353,5.304
5542.428,39.146,37.304,5.736
5543.703,39.544,38.817,6.256
5544.981,40.848,38.874,6.253
5546.257,39.562,39.508,5.86
5547.536,40.75,41.875,5.257
5548.812,40.206,42.169,4.826
5550.088,43.159,40.942,5.209
5551.368,43.82,41.494,5.061
5552.645,42.352,42.175,4.681
5553.926,42.126,42.406,4.768
5555.203,42.286,42.69,4.906
5556.484,42.484,42.641,4.661
5557.763,42.574,40.916,4.855
